STATE/UT,DISTRICT,YEAR,MURDER,CULPABLE HOMICIDE,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,DOWRY DEATHS,ASSAULT ON WOMEN,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,,,,,
ANDHRA PRADESH,TOTAL,2001,2602,136,871,1182,214,629,7220,16751,3001,788,5391,420,3544,2271,5791,,,,,
ARUNACHAL PRADESH,TOTAL,2001,83,3,33,83,22,84,248,443,24,41,30,0,78,3,11,,,,,
ASSAM,TOTAL,2001,1356,40,817,1480,532,687,2423,5367,2953,374,575,59,850,4,1248,,,,,
BIHAR,TOTAL,2001,3643,250,888,2159,1291,2203,3233,9701,8606,946,1659,859,562,21,1558,,,,,
CHHATTISGARH,TOTAL,2001,880,45,959,207,87,338,4144,4812,871,154,402,70,1763,161,840,,,,,
GOA,TOTAL,2001,36,5,12,9,7,25,359,576,64,39,62,2,17,7,11,,,,,
GUJARAT,TOTAL,2001,1226,94,286,998,327,991,5142,15834,1930,1748,1779,67,756,111,3667,,,,,
HARYANA,TOTAL,2001,781,78,398,449,77,397,3109,6117,750,556,1016,285,478,401,1513,,,,,
HIMACHAL PRADESH,TOTAL,2001,119,11,124,126,4,28,844,600,628,69,146,10,310,14,317,,,,,
JAMMU & KASHMIR,TOTAL,2001,1075,33,169,606,24,161,1345,1919,1072,90,391,13,622,288,50,,,,,
JHARKHAND,TOTAL,2001,1507,143,567,441,636,647,1266,3827,2018,283,554,217,297,5,484,,,,,
KARNATAKA,TOTAL,2001,1626,74,293,559,178,847,6394,12868,6686,494,2678,220,1665,81,1755,,,,,
KERALA,TOTAL,2001,472,111,562,183,176,517,4474,5441,8108,428,2756,27,1942,81,2561,,,,,
MADHYA PRADESH,TOTAL,2001,2425,125,2851,956,166,1764,13549,20263,3395,481,1413,609,7063,751,2562,,,,,
MAHARASHTRA,TOTAL,2001,2839,101,1302,985,529,2239,15073,39866,6719,1542,4273,308,2823,1120,6090,,,,,
MANIPUR,TOTAL,2001,209,5,20,94,20,19,75,217,131,33,66,0,21,0,5,,,,,
MEGHALAYA,TOTAL,2001,164,2,26,55,97,125,170,271,8,19,29,0,25,0,4,,,,,
MIZORAM,TOTAL,2001,31,5,52,2,3,23,417,878,3,23,71,0,52,0,16,,,,,
